Title,country,Price,SuccessRate,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,rate
ce rt ##i f ##y accountant book keeper,India,1200,99,Bookkeeping,Intuit QuickBooks,Intuit Quicken,Xero,Wave Accounting,MYOB Administration,2000000
custom mvp startup sa as web mobile app dashboard,Ukraine,3800,100,PHP,Laravel,React,HTML,JavaScript,MySQL Programming,100000
architect ceo,Armenia,2000,100,3D Modeling,3D Rendering,3D Animation,Autodesk 3ds Max,3D Design,Architectural Rendering,40000
expert craft cm s gr ap q l vu e react j s website performance aw,Ukraine,3500,100,PHP,HTML5,JavaScript,Laravel,Craft CMS,React,200000
python developer snake charm er,Russia,7500,94,Python,PostgreSQL,Apache Spark,Django,NumPy,RabbitMQ,50000
pdf expert,India,1900,93,Adobe PDF,Adobe Acrobat,CorelDRAW,Adobe Photoshop,Adobe PageMaker,Adobe Illustrator,7000
web developer,Armenia,2000,86,HTML5,CSS3,PHP,Laravel,CodeIgniter,JavaScript,100000
full st ##a ck developer web,Ukraine,2500,100,PHP,JavaScript,jQuery,WordPress,HTML5,JavaScript,100000
computer vision natural language processing expert,Russia,3400,93,Machine Learning,Python,Computer Vision,Natural Language Processing,Data Science,Predictive Analytics,2000000
seo expert global local ser p result,India,900,91,SEO,Link Building,On-Page Optimization,Off-page Optimization,Facebook Marketing,Google Local Business Optimization,100000
professional io android app developer,India,2000,98,Cocoa,iPhone App Development,Mac OS App Development,N/A,JavaScript,JavaScript,10000000
q a engineer,Russia,2840,100,QA Engineering,Manual Testing,Load Testing,N/A,JavaScript,JavaScript,5000000
web programming design,Ukraine,1500,100,Web Design,Web Programming,React,PHP,Market Research,Sales Copywriting,100
stack java script expert react j s vu e j s node j s,Ukraine,2800,98,Vue.js,React,Node.js,Next.js,Nuxt.js,JavaScript,300000
industrial designer,Singapore,4000,100,Concept Design,Product Design,Industrial Design,Manufacturing Design,CAD,3D Modeling,20000
web software development expert web api core no pc om mer ce d n ##n,India,1600,100,Software Testing,ASP.NET MVC,C#,DNN,SQL,VB.NET,4000000
stack developer,United States,5000,100,Amazon Web Services,Angular,Node.js,AWS CloudFormation,iOS Development,Android,10
lighting designer smart building design electrical engineer,Venezuela,1600,100,R,Machine Learning,Data Mining,Autodesk Revit,Autodesk Navisworks,Lighting Design,50000
technical customer support executive,Philippines,1000,100,Informative,Client Management,Technical,Selling,Customer Service,Customer Support,200000
administrative graphic design,United States,2000,98,Graphic Design,Data Entry,MS Excel,Web Research,WordPress,Facebook,30000
web developer node j ##s ruby rail,Ukraine,4500,100,Ruby on Rails,Ruby,AngularJS,PostgreSQL,MongoDB,MySQL,40000
help business pro sp ##er passion,Canada,6200,100,English,English Spelling,Creative Writing,Voice Over,Article Writing,Medical Transcription,100000
rate google ad word pp c expert,India,1000,97,Pay Per Click,Google Ads,Bing Ads,Facebook Marketing,Search Engine Marketing,Social Media Marketing,1000000
creative writer marketing writer,United States,3500,100,Social Media Content,Storytelling,Marketing,Photography,Graphic Design,Press Release Writing,100000
stack mobile app developer io android react native x ama ri ##n,India,1800,95,Swift,iOS Development,Xamarin,React Native,Firebase,Objective-C,1000000
trust virtual assistant,Philippines,600,98,Internet Research,Research,Qualitative Research,WordPress,WordPress Plugin,CRM,200000
ios swift expert android dev web developer,India,1000,80,iPhone UI Design,iPhone App Development,iPad UI Design,iPad App Development,iOS Development,Firebase,1000000
sy m f ##o ny e commerce developer deep gt m dev ops knowledge,Belarus,5250,99,Magento,Amazon Web Services,Symfony,Vue.js,Sylius,Shopware,1000
u x ui web app design web development,Ukraine,2000,94,User Experience Design,User Interface Design,Web Design,Responsive Web Design,Website Development,HTML,30000
ct o senior architect stack developer,Russia,3500,100,JavaScript,Node.js,PHP,Swift,Website Development,Android,9000000
online business operation manager,United States,5000,98,Virtual Assistant,Office Administration,General Office Skills,Management Development,Strategic Planning,Data Entry,80000
stack node angular react word press mood le j s j que ry php developer,India,2000,97,PHP,WordPress,MySQL,Joomla,Drupal,HTML5,10000000
word press angular react j ##s node j ##s code ign it ##er lara ve ##l,India,2500,94,WordPress,Laravel,CodeIgniter,HTML5,Responsive Web Design,CSS3,1000000
marketing specialist seo se m social content email marketing,United States,9000,100,Social Media Marketing,Competitive Analysis,Email Marketing Strategy,SEO Strategy,Content Marketing Strategy,Google Analytics,1000
ui design u x design web design,Ukraine,2500,100,UX Design,UX Research,User Experience Design,iPhone UI Design,Mobile UI Design,Responsive Web Design,300000
big commerce custom development shop if ##y custom dev mage nt ##o expert,India,2500,100,BigCommerce,Shopify,WordPress,Frontend Development,User Experience Design,Twitter Bootstrap,60000
stack development,United States,10000,100,Agile Project Management,Project Management,SQL Programming,API Development,Twilio API,Google APIs,100000
stack developer word press w p plug in mean mer n expert,India,2500,99,PHP,WordPress,HTML,PSD to Wordpress,CSS,Adobe Photoshop,1000000
web mobile app designer focus eco mm ##er ce,Ukraine,2000,100,Web Design,Responsive Web Design,Mobile UI Design,User Experience Design,Adobe Photoshop,sketch app,90000
senior word press php my s q l developer,Australia,2000,100,Adobe Photoshop,Adobe Dreamweaver,HTML5,CSS3,WordPress,WordPress e-Commerce,900000
sustainable graphic designer,Latvia,4700,99,Graphic Design,Logo Design,Packaging Design,Web Design,Landing Page,Mockup,100000
python developer dj ang ##o panda back end dat um analysis,Ukraine,3500,98,Python,JavaScript,Flask,CSS3,HTML5,Firebird,1000000
custom php rocks tar word press element or react native mage nt ##o 2,India,2500,91,PSD to Wordpress,Responsive Web Design,WordPress,jQuery,Magento 2,Less,100000
stack web developer node j s vu e j s,Ukraine,3500,100,Web Apps,Machine Learning,Vuex,Vue.js,Node.js,Nuxt.js,1000000
ce rt ##i f ##y google ad words partner smart shopping ad expert 8 y rs ex p,India,2000,99,Google Ads,Bing Ads,YouTube Marketing,Conversion Rate Optimization,Pay Per Click Advertising,Lead Generation,1000000
mobile app developer flutter ios android,Ukraine,3375,100,Python,Firebase,AngularDart,Dart,React,Flutter,100000
social medium marketing professional,Egypt,1700,66,Marketing Management,Social Media Management,Content Writing,Content Creation,Content Marketing,Advertising,70000
word press dev,Belarus,5000,100,WordPress,PHP,CSS,JavaScript,PSD to Wordpress,Laravel,100000
stack software engineer,United States,5000,80,JavaScript,Node.js,React,Angular,PHP,WordPress,70000
7 y r php node j s angular j s react j s lara ve ##l vu e j s,India,1800,97,PHP,Laravel,Shopify,React,WordPress,Node.js,100000
seasoned market er st rate gi ##st marketing automation expert,Philippines,8000,100,Copywriting,Content Management,Blog Writing,Facebook Marketing,Social Media Marketing,Marketing Strategy,300000
3d general ist senior 3d artist,Ukraine,3000,99,Substance Painter,MarvelousDesigner,3D Design,3D Modeling,3D Animation,Pixologic Zbrush,100000
ee pc b design industrial design mechanical design,Russia,4000,100,Altium Designer,PCB Design,Electronics,Electronic Design,Analog Electronics,Electrical Engineering,1000
expert software engineer,Russia,4500,98,C++,Qt,MySQL,FFmpeg,C,Multithreaded Programming,300000
dev ops engineer,Ukraine,3500,99,DevOps,Linux System Administration,Docker,Jenkins,Amazon EC2,Python,800000
html 5 banner facebook ins tag ##ram banner video explain er,Ukraine,3800,100,HTML5,Animation,Banner Ads,Adobe After Effects,Display Ads,Digital Video,30000
word press developer woo com mer ce developer,Ukraine,2500,100,PHP,HTML,WordPress,CSS3,JavaScript,jQuery,100000
effective branding web design engage,Ukraine,3500,100,Logo Design,Corporate Brand Identity,Web Design,Graphic Design,User Interface Design,Branding,60000
graphic designer illustrator,Ukraine,2000,100,Adobe Photoshop,Adobe Illustrator,Adobe InDesign,Graphic Design,Book,Digital Art,10000
an im ##ate video grow business,Ukraine,5000,100,Animation,Whiteboard Animation,2D Animation,Video Production,3D Animation,Motion Graphics,70000
experience senior stack net developer,Canada,5400,100,.NET Framework,C#,Visual Basic,ASP.NET,HTML5,JavaScript,10000
stack developer architect as p net mv c web api core,United States,7000,97,C#,SQL,AngularJS,JavaScript,ASP.NET Web API,ADO.NET Entity Framework,100000
rate full st ##a ck php java script developer,Ukraine,2500,100,PHP,HTML5,PSD to HTML,Laravel,PSD to Wordpress,JavaScript,200000
customer service specialist,Philippines,600,100,Customer Service,Data Entry,Web Research,Leads,Appointment Setting,Cold Calling,30000
complex word press woo com mer ce project,Ukraine,3500,100,WooCommerce,WordPress,PHP,JavaScript,CSS,Wordpress Theme,1000000
expert video editor,United States,2500,91,Animation,Adobe After Effects,Adobe Premiere Pro,Motion Graphics,DaVinci Resolve,Video Post Editing,4000
seo sm m sm o online marketing service,India,700,100,Mobile UI Design,Content Writing,SEO,Social Media Optimization (SMO),SEO Audit,Google Analytics,8000
creativity integrity,United States,7500,100,Adobe Illustrator,Adobe InDesign,Adobe Photoshop,Adobe Dreamweaver,Java,PHP,30000
seo expert eco mm ##er ce seo shop if ##y word press big com mer ce,India,1500,91,SEO,Google Analytics,SMO,Search Engine Marketing,WordPress,Pay Per Click Advertising,2000000
sr developer creek geek,United Kingdom,3500,100,ASP.NET,PHP,Microsoft Azure,.NET Framework,Microsoft Silverlight,iOS Development,70000
net php expert,India,2500,100,XML,.NET Framework,SQL,SAP Crystal Reports,C#,iPhone App Development,100000
3d animation modeling text ur ##ing lighting rendering 2d concept,India,5000,100,3D Animation,Animation,3D Modeling,3D Rigging,JavaScript,JavaScript,100000
graphic designer,Argentina,2400,100,Graphic Design,Editorial Design,Logo,Image Editing,Presentation Design,Advertisement,8000
stack web mobile app development specialist e commerce expert,India,1500,92,Adobe Photoshop,Adobe Illustrator,Mobile UI Design,UX Design,CodeIgniter,Laravel,2000000
imagine er 3d cad model er product prototype designer wi x web master,Philippines,5000,97,Fusion 360,Maxon Cinema 4D,Autodesk AutoCAD,3D Printing,3D Modeling,Product Design,20000
web design word press expert u x ui design brand logo design,Romania,5626,100,WordPress,Adobe Photoshop,PHP,Adobe Illustrator,Web Design,HTML5,300000
full st ##a ck developer word press react j s node j s,Ukraine,3500,81,Amazon Web Services,GitLab,React,Node.js,JavaScript,PHP,500000
global multi ling ua ##l support network gm s n,Russia,300,95,Administrative Support,Translation,Localization,N/A,JavaScript,JavaScript,100000
ps d word press ps d html lara ve ##l sy m f ##o ny mi va,Ukraine,3000,93,WordPress,Symfony,Laravel,Yii,Yii2,Web Design,900000
3d visual i ##zation arch vi z realistic rendering architecture,Vietnam,2000,100,3D,Unreal Engine,Architectural Design,3D Modeling,Interior Design,3D Rendering,100000
art illustration 2d 3d animation game design,Ukraine,3500,100,Illustrations,Characters/Video Games,Game Art,Adobe Animate,2D Design/Drawings,Adobe Photoshop,30000
web developer web designer,India,500,100,PHP,Ecommerce Platform Development,CodeIgniter,jQuery,Node.js,HTML,100000
game production expert bring dream life,United States,12500,100,Unity,C#,Game Design,Game Development,Game Programming,3D Modeling,700000
eli xi r phoenix java script node j ##s react angular lara ve ##l vu e ##j s,Malaysia,4000,95,Elixir,Erlang,Node.js,JavaScript,Angular 4,Angular 2,70000
web mobile software development expert,India,1500,100,PHP,ASP.NET,HTML5,Java,Responsive Web Design,jQuery,3000000
react j s vu e j s j que ry boots tr ##a p developer,Ukraine,3500,98,AngularJS,HTML,CSS,Bootstrap,Vue.js,React,300000
page seo local citation builder expert virtual assistant,Bangladesh,700,97,SEO,Directory Submission,Link Building,Localization,SEO Backlinking,Data Entry,100000
award win creative director lead designer print web social pp t,United States,12500,100,Adobe Illustrator,Adobe InDesign,Presentation Design,Microsoft PowerPoint,Keynote,Brand Identity,7000
lara ve ##l react shop if ##y developer,Ukraine,4000,99,PHP,WordPress,Laravel,JavaScript,Vue.js,Shopify,70000
12 year sr web developer web application lara ve ##l vu e j s react j s,Ukraine,4500,100,PHP,React Native,React,Website Development,HTML5,HTML,1000000
stack php expert php lara ve ##l yi i 2 vu e ##j s,Ukraine,2500,98,PHP,Laravel,Yii2,MySQL,Docker,Vue.js,300000
syn ap se ##i n ##di a,India,2000,97,PHP,MySQL,Project Management,iPhone App Development,Android App Development,BlackBerry App Development,20000000
white hat seo professional google animal expert,Pakistan,1500,100,SEO,On-Page Optimization,Off-page Optimization,SEO Keyword Research,Link Building,SEO Backlinking,300000
senior ui u x designer,India,1000,100,Graphic Design,Adobe Photoshop,HTML5,CSS3,Mobile UI Design,Marvel,200000
php net mv c developer,Pakistan,1000,87,Mobile App Development,Web Servers,Responsive Web Design,WordPress,JavaScript,JavaScript,2000
php developer,Czech Republic,4500,100,JavaScript,jQuery,CSS3,HTML5,Twitter Bootstrap,PHP,40000
mechanical engineer,Ukraine,2350,100,Mechanical Design,Industrial Design,Injection Mold Design,CAD,Product Design,SolidWorks,400000
web mobile solution architect,Pakistan,5000,100,Node.js,AngularJS,React Native,MongoDB,AWS Lambda,Elasticsearch,100000
u x ui web graphic designer,Ukraine,1500,100,User Interface Design,User Experience Design,Figma,Graphic Design,Mobile UI Design,Adobe Photoshop,100000
u x ui design startup business sa as web mobile design,Ukraine,3500,100,User Interface Design,User Experience Design,sketch app,Web Design,Mobile UI Design,Website Wireframing,200000
social medium marketing ti k ##t ok facebook ins tag ##ram snap cha t,Ukraine,3000,100,Adobe Photoshop,Social Media Marketing,Social Media Marketing Strategy,Marketing,Adobe Premiere,JavaScript,300000
business intelligence analytic expert,India,3000,98,Business Intelligence,Data Analysis,Microsoft Excel,VBA,PHP,MySQL Programming,1000000
dev ops engineer,Ukraine,3500,99,Linux System Administration,Virtualization,Apache,NGINX,Web Proxy,Automation,800000
angular react vu e node java python php mood le react native,Ukraine,3000,96,Node.js,Angular,React Native,Laravel,Vue.js,Python,200000
stack web programmer graphic web designer professional,Philippines,4000,99,Web Design,Graphic Design,Ecommerce Platform Development,PHP,WooCommerce,WordPress,100000
ui u x designer,Ukraine,2800,99,Figma,InVision,Zeplin,Adobe Illustrator,Adobe XD,Adobe Photoshop,900000
stack node j s react j s express php dr up al developer,Russia,3750,100,Drupal,PHP,jQuery,JavaScript,AJAX,MySQL,2000000
project manager business manager virtual assistant,Ukraine,3500,99,Management Skills,Project Management,Administrative Support,N/A,JavaScript,JavaScript,900000
expert mobile web ui u x designer,Russia,5000,97,Interactive Design,Mobile UI Design,Web Design,UX Design,Adaptive Web Design,Responsive Web Design,300000
email find er dat um extraction dat um entry eco mm ##er ce va,Philippines,500,100,Web Research,Data Entry,Virtual Assistant,Lead Generation,Graphic Design,JavaScript,20000
graphic design branding strategy web development,United States,6875,100,Graphic Design,Layout Design,Web Design,Website Development,WordPress,WordPress Plugin,8000
mechanical designer,Costa Rica,6000,100,SolidWorks,Autodesk Inventor,Solid Edge,Fusion 360,Autodesk Sketchbook Pro,Autodesk,300000
architect bi m me p consultant,Ecuador,2500,100,Lumion,Adobe InDesign,Hand Drawn Perspective Rendering,Autodesk Revit Architecture,Architecture Design,Photorealistic Rendering,20000
sales force com architect,India,4200,100,Salesforce App Development,Visualforce,APEX,jQuery,HTML,CSS,700000
sr web developer,Pakistan,3200,92,BigCommerce,WordPress,Interspire,Joomla,WordPress Plugin,PSD to Wordpress,900000
woo com mer ce expert medium eco mm ##er ce solution provider,United States,2500,100,Android App Development,WordPress Website,iOS Development,Ecommerce Platform Development,Custom PHP,Adobe XD,5000
mobile web application expert senior ios developer react native,Uruguay,4500,100,iOS Development,Swift,Mobile App Development,.NET Framework,Objective-C,Amazon Web Services,60000
email marketing expert consultant,Czech Republic,4500,100,Mailchimp,Email Marketing,PSD to Mailchimp,PSD to HTML,.NET Framework,C#,90000
end dev ops engineer,Ukraine,3000,99,Node.js,GraphQL,Express,MongoDB,Docker,Amazon ECS,300000
social medium ad video editor motion graphic designer,Romania,5000,100,Video Editing,Sound Design,Copywriting,Audio Editing,Mastering,Mixing,20000
stack development expert web mobile app development,United States,6000,100,Mobile App Design,Mobile App Development,App Development,iOS Development,Android App Development,Swift,3000
react j ##s red u ##x material ui ant design vu e ##j s python,India,1500,96,React Native,React,Redux,Adobe PhoneGap,JavaScript,AngularJS,1000000
proficient spanish translator local i ##zation expert,Spain,2500,100,Translation English Spanish,Translation Spanish English,Proofreading,Content Strategy,Localization,Digital Strategy,20000
stack web developer,Russia,3000,100,PHP,JavaScript,HTML,CSS3,Yii,Zend Framework,9000000
react j ##s vu e ##j s node j ##s python flutter angular,India,1500,97,Node.js,Redux Framework,React,React Native,Magento 2,PHP,1000000
as p net mv c net core b la z ##o r angular 9 node j s x ama ri ##n ionic,India,1600,100,ASP.NET MVC,JavaScript,ASP.NET,AJAX,Windows Presentation Foundation,Windows Communication Foundation,300000
web mobile expert ui u x evangelist flutter x ama ri ##n,New Zealand,1600,87,ASP.NET Core,Ecommerce Platform Development,Website Development,Mobile App Development,SaaS,Kotlin,10000
expert word press developer theme plug in html 5 cs s 3 j s,Bangladesh,1500,100,PHP,WordPress,Joomla,CodeIgniter,AngularJS,HTML5,5000
linked in expert lead generation dat um entry web researcher va,Pakistan,550,90,Data Entry,Lead Generation,Internet Research,Data Mining,Web Scraper,Email Handling,60000
ct o senior tech lead product owner security,United Kingdom,16500,100,PHP,LAMP Administration,Wireless Security,Internet Security,Internet Security,Linux System Administration,100000
node j s php dev,Ukraine,2500,92,HTML5,JavaScript,PHP,Node.js,WordPress,PrestaShop,100000
nets ui ##t e implementation custom i ##zation administrator consultant,India,4000,100,NetSuite Administration,Technical Writing,Business Analysis,NetSuite Development,Project Management,Requirements Analysis,100000
expert technology solution,India,2500,100,React Native,AngularJS,React,Node.js,Magento 2,Ionic Framework,4000000
digital graphic designer,Bulgaria,4000,100,Print Design,Adobe InDesign,Adobe Photoshop,Sales Presentation,Layout Design,Brochure Design,7000
full st ##a ck j s php developer,Ukraine,2500,100,Vue.js,Laravel,JavaScript,HTML5,CSS3,SCSS,100000
php developer phone ga p angular mean mer n stack experience,India,2000,98,HTML,JavaScript,PHP,Node.js,AngularJS,MongoDB,400000
stack web developer php lara ve ##l framework vu e j s,Ukraine,2500,100,Laravel,JavaScript,jQuery,CSS,PHP,HTML,10000
rate writer editor copy writing experience,Philippines,3000,100,Content Writing,Report Writing,Article Writing,Blog Writing,Advertising,Technical Writing,10000
project manager,Russia,2500,97,HTML5,Objective-C,Swift,Scrum,Data Structures,PHP,3000000
facebook ad expert eco mm ##er ce,Canada,5000,100,Marketing & Sales,Marketing Strategy,Social Media Marketing,Web Design,Frontend Development,SEO-based Website,1000
va appointment set ter real estate assistant interview er,Philippines,1250,100,Lead Generation,Management Skills,Appointment Setting,Customer Service,Telemarketing,Data Entry,200000
web design development specialist,South Africa,7500,85,Adobe Photoshop,Web Design,WordPress,Website Development,Ecommerce Platform Development,Marketplace Development,30000
seo specialist guarantee results 30 day result,India,700,74,SEO,On-Page Optimization,Off-page Optimization,YouTube Marketing,Link Building,SEO Audit,800000
ps d element or pro expert html cs s java script,Moldova,2500,100,WordPress,WordPress Website,PSD to Wordpress,Elementor,Divi,Web Design,9000
rev it bi m expert,Saudi Arabia,7000,91,Autodesk Revit,3D Design,Structural Engineering,Autodesk,Autodesk AutoCAD,Autodesk 3ds Max,6000
amazon seller central ad expert ex amazon ian,United Kingdom,7500,100,Amazon Seller Central,Amazon FBA,Amazon Listing Optimization,Amazon PPC,Microsoft Excel,Copywriting,10000
stack sy m f ##o ny lara ve ##l,Ukraine,3000,100,PHP,jQuery,Laravel,MySQL,Database,HTML,100000
amazon f ba expert pp c expert f ba product research,Pakistan,1321,94,eBay Listing/Writing,Amazon Webstore,Amazon MWS,SEO Keyword Research,Amazon,Amazon FBA,6000
er p project manager sc rum master,India,3000,100,Enterprise Resource Planning (ERP),Business Analysis,System Analysis,Project Management Professional,Business Continuity Planning,Article Writing,40
end developer java script vu e j s node j s angular 2,Ukraine,2200,98,JavaScript,Vue.js,Angular 2,jQuery,Node.js,MongoDB,2000000
senior php lara ve ##l word press eco mm ##er ce developer,India,2000,97,Yii,PHP,MySQL,jQuery,AJAX,JavaScript,20000000
graphic web multimedia sm m service,Pakistan,3500,99,Logo Design,Adobe Photoshop,Graphic Design,Web Design,Adobe Illustrator,Adobe InDesign,800000
virtual assistant,Philippines,800,93,Customer Service,Email Handling,Data Entry,Administrative Support,Social Media Management,Chat Support,50000
customer success manager customer support specialist,Philippines,1200,100,Customer Service,Virtual Assistant,Email Handling,Zendesk,Microsoft Word,Live Chat Operator,3000
sale manager,Ukraine,2000,100,iOS Development,Android App Development,Flutter,Objective-C,Swift,React Native,1000
project manager,Poland,2000,100,Project Management,Agile Project Management,Project Planning,Project Timeline,Communication Skills,Problem Solving,100000
web development php lara ve ##l java script react sql web scraping,Ukraine,3000,98,CSS,JavaScript,Laravel,WooCommerce,WordPress Plugin,React,20000
chat bot developer ai ml expert node j s expert,United Kingdom,2000,86,Chatbot Development,Atlassian Confluence,Bitbucket,GitHub,Machine Learning,AI,70000
seo expert seo audit page optimization page seo analyst,India,2000,96,SEO,SEO Audit,On-Page Optimization,Off-page Optimization,Link Building,SEO Backlinking,10000000
web mobile android io developer software development,Ukraine,2000,100,PHP,Laravel,Vue.js,WordPress,UX/UI,Figma,300
senior ui u x designer,Ukraine,4000,99,User Experience Design,Sketch,Mobile UI Design,Website Wireframing,Adobe Illustrator,InVision,1000000
react graph q l react native node aw s java script meteor,United States,7500,100,JavaScript,Node.js,MeteorJS,React,React Native,MongoDB,30000
professional english spanish translator,United States,2500,100,Translation English Spanish,Spanish - Castilian (Spain),English,Localization,JavaScript,JavaScript,100000
ui u x designer graphic web gambling bet,Ukraine,2500,100,UX Design,Mobile UI Design,Adobe Photoshop,Adobe Illustrator,Responsive Web Design,Web Design,1000000
french voice over artist ce rt ##i f ##y french english translator,Morocco,1500,100,Translation,Resume Writing,Legal Assistance,Legal Research,Translation English French,Translation English Arabic,5000
advanced developer angular vu e react j s end,Russia,4000,95,Frontend Development,Backend Rest API,DevOps,Database,React,Vue.js,300000
illustrator graphic designer architect,Ukraine,2400,98,Adobe Photoshop,Adobe Illustrator,Illustration,Graphic Design,Drawing,Sketching,20000
experience stack web developer,Pakistan,2500,88,Python,Django,HTML5,CSS3,JavaScript,AngularJS,10000
react native flutter react j s vu e j s node j s java python ruby,Ukraine,3500,100,React,React Native,Vue.js,JavaScript,Firebase,Flutter,7000000
business intelligence data ware house specialist,Singapore,2500,85,Pentaho,JasperReports,SQL,Data Warehousing,Business Intelligence,Report Writing,100000
share point sales force web mobile app developer,India,3200,100,CRM,iPhone App Development,Android App Development,WordPress,PHP,User Interface Design,600000
professional developer ui u x designer,India,1600,100,DNN,Microsoft Windows Phone 7 App Development,ASP.NET,ASP.NET MVC,Microsoft IIS,jQuery,4000000
rate lead gen expert ad min support dat um entry,Pakistan,800,100,Customer Support,WordPress,Email Handling,Adobe Photoshop,Lead Generation,Data Entry,200000
packaging label design branding logo design visual identity,Serbia,2000,93,Logo Design,Web Design,Label and Package Design,Packaging Design,Logo,Print Design,300
mr,Italy,3000,100,Cocoa,Cocoa Touch,Objective-C,Swift,Linux System Administration,Reverse Engineering,100000
stack developer word press sy m f ##o ny dj ang ##o react j ##s,Ukraine,4500,99,Python,Django,PHP,Symfony,JavaScript,React Bootstrap,900000
android phone ga p ionic framework developer,India,1500,99,Android App Development,Ionic Framework,Adobe PhoneGap,Android SDK,AngularJS,Java,1000000
ui u x designer,Ukraine,3500,100,UI/UX Prototyping,Logo Design,Web Design,Responsive Web Design,Mobile UI Design,User Interface Design,10000
front end java script engineer,Ukraine,4000,93,HTML5,CSS3,JavaScript,WordPress,jQuery,Bootstrap,50000
logo branding graphic design t shirt design,Ukraine,3000,100,Logo Design,Graphic Design,Adobe Illustrator,Banner Ad Design,Corporate Brand Identity,Adobe Photoshop,1000
stack php web developer,Pakistan,2500,90,React Native,PHP,CodeIgniter,Data Scraping,CodeIgniter,Website Development,100000
senior block cha ##i n developer,Russia,5000,98,Bitcoin,Blockchain,Ethereum,Software Architecture & Design,C++,System Analysis,1000000
joo ml a word press expert have experience ma ut ##i c cr m setup,India,3500,98,Joomla,JomSocial Development,PHP,AJAX,JavaScript,JavaScript,300000
product researcher e commerce amazon f ba ali ba ba jungle sc ##o ut helium 10,Philippines,800,100,Data Entry,Data Mining,Internet Research,Microsoft Excel,Microsoft Word,Virtual Assistant,900000
professional writer translator br pt es en,Brazil,1700,95,Translation,Writing,Adobe PDF,Microsoft Office,Typing,Translation English Brazilian Portuguese,90
10 years ex per ian ##ce 200 project c c python developer,India,1800,100,C++,Microsoft Foundation Class Library,C#,.NET Framework,C,FFmpeg,300000
seo specialist technical audit expert seo analyst st rate gi ##st,India,900,100,SEO,SEO Backlinking,SEO Keyword Research,On-Page Optimization,Off-page Optimization,Link Building,8000000
hybrid mobile app expert android iphone ionic lamp mean stack flutter,India,1800,99,iPhone App Development,Android App Development,PHP,Android,Ionic Framework,Apache Cordova,1000000
up work ce rt ##i f ##y rate marketing st rate gi ##st digital design expert,Australia,6000,100,Retouching,Adobe Photoshop,Adobe InDesign,Adobe Illustrator,Corporate Brand Identity,Style Guide Development,8000
element or word press designer developer,Ukraine,2200,97,WordPress,Elementor,JavaScript,WooCommerce,PHP,React,40000
consult dat um scientist consult ct o,India,5000,100,Machine Learning,Core Java,Project Management,Algorithms,Requirement Management,Product Management,10000
give life concept,India,1500,86,Adobe Illustrator,Adobe Photoshop,HTML,Adobe Dreamweaver,Adobe Flash,English,70000
trust software development partner,Ukraine,4000,100,JavaScript,Node.js,AngularJS,MongoDB,Scala,Golang,700000
q a engineer react node j s angular,Ukraine,3000,98,Angular 5,JavaScript,Ionic Framework,Node.js,React Native,Meteor,8000000
php developer lara ve ##l zen d dr up al word press,India,2500,99,Laravel,CMS Development,JavaScript,jQuery,AJAX,Drupal,200000
front end developer,Russia,2500,80,Python,CSS,Node.js,PostgreSQL,SCSS,Redux Saga,100000
expert web mobile developer,United States,5000,100,PHP,ActionScript 3,Adobe AIR,Mobile App Development,HTML5,CSS3,700
web application developer,Russia,3000,100,Node.js,Express,HTML,CSS,JavaScript,jQuery,5000000
php lara ve ##l vu e j s developer,Ukraine,1700,98,PHP,Laravel,HTML5,JavaScript,MySQL Programming,Yii2,2000000
11 y rs ex p system architect web system mobile app development,Pakistan,4600,100,Amazon Web Services,WordPress,Yii2,Amazon S3,Amazon Cognito,vtiger Development,100000
o do o er p developer 5 year,Ukraine,2400,100,Python,Odoo,PostgreSQL Programming,XML,ERP Software,JavaScript,100000
expert io android mobile app designer developer,India,2000,90,iOS Development,Android App Development,iPhone App Development,Objective-C,Java,Swift,400000
word press end graphic design,Ukraine,2500,100,Website Development,Adobe XD,Adobe Photoshop,HTML5,CSS3,WordPress,200000
python developer scraping script o cr,Ukraine,3000,100,Python,Django,Web Scraper,Data Scraping,Data Processing,Tesseract OCR,100000
business development manager business manager,Ukraine,5000,98,Business Development,PHP,Java,JavaScript,WordPress,React,1000000
senior mean stack developer team management skill,India,2000,82,Node.js,MongoDB,jQuery,Vue.js,Website Development,Ionic Framework,6000000
end developer java script vu e j s healthcare ev charge,Ukraine,2500,98,Frontend Development,Vue.js,Vuex,JavaScript,jQuery,HTML,1000000
react native flutter expert,India,3000,100,AngularJS,JavaScript,HTML5,CSS3,React,Node.js,800
pu l ##k it ga r ##g website developer,India,2500,99,Website Development,MySQL,phpMyAdmin,Shopify,Magento,WordPress,100000
senior web mobile designer developer,Russia,4500,100,Web Design,Mobile UI Design,iPhone UI Design,Sketch,Adobe Photoshop,User Experience Design,1000000
ruby rail react vu e developer,Russia,3500,100,Ruby on Rails,Ruby,JavaScript,HTML5,CSS3,PostgreSQL Programming,3000000
web flow expert experience u x ui designer,Ukraine,3500,98,Webflow,Figma,Adobe XD,Development,JavaScript,Animation,30000
sm m social medium manager facebook expert,Ukraine,400,100,Data Entry,Social Media,Facebook Marketing,Facebook Advertising,Market Analysis,Email Marketing,20000
experience stack word press developer,Ukraine,2500,100,WordPress,WooCommerce,Wordpress Theme,WordPress Plugin,PHP,JavaScript,2000000
